Finished creating Adj List
In main
done with first pass
875709 875713
875708 875712
875707 875711
875704 875710
875703 875709
875679 875708
875673 875707
875671 875706
875657 875705
875627 875704
875608 875703
875607 875702
875606 875701
875605 875700
875601 875699
875598 875698
875597 875697
875596 875696
875595 875695
875594 875694
875593 875693
875592 875692
875591 875691
875590 875690
875589 875689
875588 875688
875587 875687
875586 875686
875585 875685
875584 875684
875583 875683
875580 875682
875579 875681
875578 875680
875577 875679
875571 875678
875570 875677
875569 875676
875560 875675
875558 875674
875556 875673
875555 875672
875554 875671
875545 875670
875525 875669
875524 875668
875523 875667
875522 875666
875503 875665
875502 875664
875477 875663
875470 875662
875469 875661
875464 875660
875460 875659
875448 875658
875447 875657
875441 875656
875440 875655
875428 875654
875415 875653
875414 875652
875407 875651
875387 875650
875386 875649
875368 875648
875367 875647
875366 875646
875329 875645
875328 875644
875327 875643
875297 875642
875296 875641
875295 875640
875294 875639
875273 875638
875272 875637
875264 875636
875242 875635
875240 875634
875239 875633
875238 875632
875229 875631
875228 875630
875227 875629
875226 875628
875211 875627
875210 875626
875169 875625
875165 875624
875164 875623
875163 875622
875162 875621
875161 875620
875160 875619
875159 875618
875118 875617
875117 875616
875116 875615
875115 875614
875114 875613
875113 875612
875112 875611
875111 875610
875052 875609
875049 875608
875048 875607
875032 875606
875031 875605
875016 875604
874979 875603
874978 875602
874969 875601
874968 875600
874967 875599
874954 875598
874952 875597
874951 875596
874950 875595
874939 875594
874938 875593
874931 875592
874925 875591
874924 875590
874917 875589
874916 875588
874909 875587
874908 875586
874907 875585
874906 875584
874905 875583
874892 875582
874891 875581
874889 875580
874878 875579
874854 875578
874853 875577
874852 875576
874851 875575
874850 875574
874839 875573
874827 875572
874813 875571
874805 875570
874804 875569
874803 875568
874802 875567
874799 875566
874798 875565
874797 875564
874761 875563
874760 875562
874759 875561
874758 875560
874757 875559
874756 875558
874755 875557
874754 875556
874734 875555
874720 875554
874719 875553
874718 875552
874700 875551
874699 875550
874697 875549
874691 875548
874690 875547
874689 875546
874688 875545
874687 875544
874669 875543
874668 875542
874634 875541
874623 875540
874595 875539
874582 875538
874581 875537
874580 875536
874579 875535
874573 875534
874572 875533
874554 875532
874539 875531
874538 875530
874531 875529
874506 875528
874493 875527
874492 875526
874491 875525
874490 875524
874489 875523
874488 875522
874487 875521
874486 875520
874485 875519
874484 875518
874483 875517
874482 875516
874481 875515
874480 875514
874479 875513
874478 875512
874477 875511
874476 875510
874475 875509
874474 875508
874463 875507
874462 875506
874461 875505
874460 875504
874459 875503
874458 875502
874457 875501
874456 875500
874455 875499
874454 875498
874453 875497
874452 875496
874451 875495
874450 875494
874449 875493
874443 875492
874439 875491
874438 875490
874432 875489
874431 875488
874365 875487
874358 875486
874356 875485
874355 875484
874349 875483
874343 875482
874342 875481
874341 875480
874340 875479
874339 875478
874338 875477
874337 875476
874336 875475
874333 875474
874332 875473
874331 875472
874330 875471
874329 875470
874319 875469
874274 875468
874273 875467
874272 875466
874250 875465
874249 875464
874248 875463
874247 875462
874246 875461
874225 875460
874224 875459
874223 875458
874222 875457
874210 875456
874180 875455
874173 875454
874170 875453
874167 875452
874166 875451
874161 875450
874160 875449
874159 875448
874158 875447
874157 875446
874156 875445
874155 875444
874154 875443
874153 875442
874152 875441
874151 875440
874146 875439
874145 875438
874144 875437
874137 875436
874136 875435
874135 875434
874116 875433
874115 875432
874074 875431
874051 875430
874034 875429
874033 875428
874005 875427
874004 875426
874003 875425
874002 875424
874001 875423
874000 875422
873990 875421
873989 875420
873988 875419
873964 875418
873950 875417
873935 875416
873934 875415
873914 875414
873904 875413
873884 875412
873883 875411
873882 875410
873873 875409
873855 875408
873854 875407
873853 875406
873852 875405
873851 875404
873850 875403
873849 875402
873848 875401
873847 875400
873846 875399
873842 875398
873841 875397
873812 875396
873811 875395
873768 875394
873766 875393
873765 875392
873764 875391
873763 875390
873762 875389
873761 875388
873760 875387
873759 875386
873758 875385
873757 875384
873756 875383
873755 875382
873754 875381
873753 875380
873752 875379
873751 875378
873750 875377
873749 875376
873706 875375
873702 875374
873701 875373
873698 875372
873696 875371
873695 875370
873649 875369
873648 875368
873646 875367
873645 875366
873579 875365
873578 875364
873551 875363
873550 875362
873549 875361
873529 875360
873513 875359
873487 875358
873486 875357
873470 875356
873469 875355
873468 875354
873467 875353
873466 875352
873465 875351
873464 875350
873453 875349
873430 875348
873422 875347
873396 875346
873395 875345
873394 875344
873393 875343
873374 875342
873373 875341
873372 875340
873371 875339
873370 875338
873369 875337
873368 875336
873367 875335
873366 875334
873357 875333
873356 875332
873355 875331
873354 875330
873353 875329
873352 875328
873351 875327
873350 875326
873349 875325
873341 875324
873340 875323
873328 875322
873321 875321
873320 875320
873319 875319
873318 875318
873317 875317
873316 875316
873315 875315
873314 875314
873313 875313
873312 875312
873311 875311
873310 875310
873309 875309
873308 875308
873307 875307
873306 875306
873305 875305
873294 875304
873293 875303
873292 875302
873291 875301
873290 875300
873289 875299
873288 875298
873287 875297
873286 875296
873285 875295
873284 875294
873283 875293
873282 875292
873280 875291
873276 875290
873275 875289
873274 875288
873273 875287
873271 875286
873263 875285
873250 875284
873245 875283
873244 875282
873243 875281
873242 875280
873231 875279
873230 875278
873223 875277
873221 875276
873220 875275
873219 875274
873218 875273
873217 875272
873216 875271
873215 875270
873181 875269
873177 875268
873176 875267
873165 875266
873164 875265
873163 875264
873162 875263
873161 875262
873160 875261
873159 875260
873158 875259
873140 875258
873139 875257
873138 875256
873137 875255
873136 875254
873135 875253
873106 875252
873105 875251
873104 875250
873092 875249
873091 875248
873090 875247
873089 875246
873088 875245
873057 875244
873056 875243
873055 875242
873054 875241
873053 875240
873052 875239
873051 875238
873050 875237
873049 875236
873045 875235
873044 875234
873043 875233
873042 875232
873041 875231
873040 875230
873032 875229
873027 875228
873026 875227
873025 875226
873024 875225
872999 875224
872998 875223
872990 875222
872989 875221
872982 875220
872981 875219
872980 875218
872979 875217
872978 875216
872977 875215
872976 875214
872975 875213
872974 875212
872951 875211
872950 875210
872949 875209
872948 875208
872942 875207
872941 875206
872940 875205
872939 875204
872935 875203
872934 875202
872933 875201
872924 875200
872923 875199
872891 875198
872890 875197
872889 875196
872876 875195
872875 875194
872866 875193
872865 875192
872863 875191
872848 875190
872825 875189
872824 875188
872806 875187
872805 875186
872804 875185
872803 875184
872802 875183
872801 875182
872800 875181
872799 875180
872798 875179
872797 875178
872795 875177
872793 875176
872792 875175
872791 875174
872790 875173
872789 875172
872788 875171
872787 875170
872786 875169
872785 875168
872784 875166
872772 875165
872771 875164
872733 875163
872725 875162
872724 875161
872723 875160
872722 875159
872715 875158
872714 875157
872697 875156
872696 875155
872674 875154
872673 875153
872672 875152
872671 875151
872655 875150
872654 875149
872653 875148
872652 875147
872643 875146
872631 875145
872630 875144
872629 875143
872628 875142
872627 875141
872626 875140
872622 875139
872621 875138
872620 875137
872564 875136
872563 875135
872552 875134
872551 875133
872542 875132
872541 875131
872520 875130
872519 875129
872500 875128
872499 875127
872483 875126
872479 875125
872428 875124
872427 875123
872420 875122
872419 875121
872418 875120
872417 875119
872416 875118
872415 875117
872414 875116
872413 875115
872412 875114
872411 875113
872410 875112
872409 875111
872408 875110
872407 875109
872406 875108
872405 875107
872404 875106
872403 875105
872402 875104
872393 875103
872389 875102
872366 875101
872365 875100
872363 875099
872362 875098
872342 875097
872341 875096
872340 875095
872338 875094
872337 875093
872327 875092
872326 875091
872299 875090
872295 875089
872294 875088
872293 875087
872292 875086
872279 875085
872259 875084
872257 875083
872240 875082
872223 875081
872222 875080
872221 875079
872220 875078
872219 875077
872218 875076
872215 875075
872209 875074
872158 875073
872157 875072
872156 875071
872155 875070
872154 875069
872153 875068
872152 875067
872151 875066
872141 875065
872127 875064
872126 875063
872125 875062
872112 875061
872111 875060
872109 875059
872108 875058
872107 875057
872106 875056
872089 875055
872085 875054
872084 875053
872083 875052
